,FBCLOSE,FBVOLUME,AAPLCLOSE,AAPLVOLUME,AMZNCLOSE,AMZNVOLUME,GOOGLCLOSE,GOOGLVOLUME,NFLXCLOSE,NFLXVOLUME,SP500
9/28/2020,256.82,18826254,114.96,137672403,3174.05,4224165,1458.66,1539236,490.65,4773497,3351.6
9/25/2020,254.82,18351311,112.28,149981441,3095.13,4615202,1439.06,1516677,482.88,3769436,3298.46
9/24/2020,249.53,20006750,108.22,167743349,3019.79,5529392,1422.86,1727611,473.08,3727201,3246.59
9/23/2020,249.02,19641266,107.12,150718671,2999.86,5652665,1409.39,1886299,470.61,3726423,3236.92
9/22/2020,254.75,30293103,111.81,183055373,3128.99,6948816,1459.82,1697542,491.17,3482324,3315.57
9/21/2020,248.15,24709378,110.08,195713815,2960.47,6117925,1430.14,2845405,487.35,5457539,3281.06
9/18/2020,252.53,28130767,106.84,287104882,2954.91,8892580,1451.09,3152788,469.96,6717711,3319.47
9/17/2020,254.82,31281441,110.34,178010968,3008.73,6449050,1487.04,2000356,470.2,5379301,3357.01
9/16/2020,263.52,29207594,112.13,155026675,3078.1,4531189,1512.09,1107169,483.86,4401412,3385.49
9/15/2020,272.42,18478530,115.54,184642039,3156.13,4021535,1535.12,1152055,495.99,5336992,3401.2
9/14/2020,266.15,24093830,115.355,140150087,3102.97,4529596,1508.83,2133007,476.26,7359126,3383.54
9/11/2020,266.61,18913883,112,180860325,3116.22,5093982,1515.76,1535337,482.03,5035200,3340.97
9/10/2020,268.09,24814669,113.49,182274391,3175.11,5330741,1526.05,1651194,480.67,6240181,3339.19
9/9/2020,273.72,22918769,117.32,176940455,3268.61,5188675,1547.23,1962078,500.19,6848127,3398.96
9/8/2020,271.16,24863997,112.82,231366563,3149.84,6094205,1523.6,2701586,507.02,5572684,3331.84
9/4/2020,282.73,30333671,120.96,332607163,3294.62,8781754,1581.21,2792533,516.05,8270118,3426.96
9/3/2020,291.12,32294092,120.88,257599640,3368,8161113,1629.51,3186287,525.75,9071089,3455.06
9/2/2020,302.5,24341369,131.4,200118991,3531.45,3931476,1717.39,2476072,552.84,5886930,3580.84
9/1/2020,295.44,17320872,134.18,152470142,3499.12,3476407,1655.08,1133766,556.55,9581907,3526.65
8/31/2020,293.2,17345134,129.04,223505733,3450.96,4185885,1629.53,1321097,529.56,4941409,3500.31
8/28/2020,293.66,17172415,499.23,46907479,3401.8,2896978,1639.43,1121195,523.89,4417517,3508.01
8/27/2020,293.22,30301309,500.04,38888096,3400,4264795,1628.52,1567503,526.27,9062912,3484.55
8/26/2020,303.91,69015151,506.09,40755567,3441.85,6508743,1644.13,2609363,547.53,20373681,3478.73
8/25/2020,280.82,42127240,499.3,52873947,3346.49,3992842,1605.85,1257463,490.58,5727721,3443.62
8/24/2020,271.39,23685603,503.43,86484442,3307.46,4666258,1585.15,1281893,488.81,4762183,3431.28
8/21/2020,267.01,15538615,497.48,84513660,3284.72,3575862,1575.57,1742275,492.31,3921293,3397.16
8/20/2020,269.01,20299688,473.1,31726797,3297.37,3332478,1576.25,1319131,497.9,5132480,3385.51
8/19/2020,262.59,23291463,462.83,36384502,3260.48,4185137,1544.61,1523592,484.53,3156218,3374.85
8/18/2020,262.34,18690383,462.25,26408385,3312.49,5345974,1555.78,1418850,491.87,3505518,3389.78
8/17/2020,261.16,13303174,458.43,29431414,3182.41,2675890,1516.24,998010,482.35,2409957,3381.99
8/14/2020,261.24,14792708,459.63,41391302,3148.02,2751723,1504.63,1097059,482.68,2943487,3372.85
8/13/2020,261.3,17373970,460.04,52520516,3161.02,3149043,1516.65,1119711,481.33,3008933,3373.43
8/12/2020,259.89,21428329,452.04,41486205,3162.24,3527229,1507.24,1126560,475.47,5441243,3380.35
8/11/2020,256.13,28238283,437.5,46975594,3080.67,3718057,1480.54,1554853,466.93,7329226,3333.69
8/10/2020,263,30248826,450.91,53100856,3148.16,3167274,1496.82,1027329,483.38,4691185,3360.47
8/7/2020,268.44,72766364,444.45,49511403,3167.46,3936127,1498.37,1386294,494.73,5910348,3351.28
8/6/2020,265.28,45241611,455.61,50607225,3225,3940602,1504.95,1665261,509.08,3725861,3349.16
8/5/2020,249.12,13088361,440.25,30497988,3205.03,3930025,1479.09,1457518,502.11,4313526,3327.77
8/4/2020,249.83,17183533,438.66,43198092,3138.83,4694294,1473.3,1860609,509.64,5607968,3306.51
8/3/2020,251.96,23134103,435.75,77037847,3111.89,5074663,1482.76,2276085,498.62,5876190,3294.61
7/31/2020,253.67,53030037,425.04,93573867,3164.68,8083369,1487.95,4576382,488.88,5924310,3271.12
7/30/2020,234.5,20615306,384.76,39532505,3051.88,6128265,1538.37,1802121,485.8,6608569,3246.22
7/29/2020,233.29,13588317,380.16,22582314,3033.53,2974060,1523.51,1133773,484.48,6611769,3258.44
7/28/2020,230.12,14170112,373.01,25906375,3000.33,3126651,1503.65,1545534,488.51,5986727,3218.44
7/27/2020,233.5,13163083,379.24,30303548,3055.21,4170492,1529.43,1356185,495.65,7863069,3239.41
7/24/2020,230.71,18325813,370.46,46359716,3008.91,5632413,1508.21,1495381,480.45,7746247,3215.63
7/23/2020,232.6,21771802,371.38,49251108,2986.55,5656906,1516.75,1695498,477.58,7722034,3235.66
7/22/2020,239.87,15427885,389.09,22250413,3099.91,4104225,1564.85,1224100,489.82,6954078,3276.02
7/21/2020,241.75,18646840,388,25627347,3138.29,6075758,1555.92,1328089,490.1,9072982,3257.3
7/20/2020,245.42,20797388,393.43,22397208,3196.84,7488703,1563.84,1490634,502.41,11859644,3251.84
7/17/2020,242.03,18152413,385.31,23046755,2961.97,4716329,1516.85,1713251,492.99,24991528,3224.73
7/16/2020,240.93,18880800,386.09,27645927,2999.9,6394284,1514.92,1324228,527.39,24499009,3215.57
7/15/2020,240.28,19134627,390.9,38306874,3008.87,5789358,1516.88,1551326,523.26,10066652,3226.56
7/14/2020,239.73,23378056,388.23,42748119,3084,7231956,1520.86,1905405,524.88,15083326,3197.52
7/13/2020,239,24674883,381.91,47913079,3104,7722519,1512.23,2147729,525.5,18401757,3155.22
7/10/2020,245.07,22982716,383.68,22564330,3200,5486005,1539.01,1796063,548.73,21605587,3185.04
7/9/2020,244.5,22175054,383.01,31420357,3182.63,6388971,1518.66,2092013,507.76,5840561,3152.05
7/8/2020,243.58,29793184,381.37,29274479,3081.11,5037856,1503.6,1588304,502.78,5691852,3169.94
7/7/2020,240.86,27887936,372.69,28206999,3000.12,5257688,1489.92,2118194,493.16,5670204,3145.32
7/6/2020,240.28,26208488,373.85,29745936,3057.04,6880340,1499.65,2235630,493.81,7838990,3179.72
7/2/2020,233.42,30635970,364.11,28814516,2890.3,6593735,1469.93,2861202,476.89,6351983,3130.01
7/1/2020,237.55,43403869,364.11,27690454,2878.7,6364355,1442,2109566,485.64,9711520,3115.86
6/30/2020,227.07,33927068,364.8,35055821,2758.82,3769686,1418.05,2014320,455.04,4198545,3100.29
6/29/2020,220.64,58514281,361.78,32661519,2680.38,4223422,1397.17,2253678,447.24,4843978,3053.24
6/26/2020,216.08,76343939,353.63,51314211,2692.87,6500784,1362.54,4882014,443.4,6804726,3009.05
6/25/2020,235.68,18704339,364.84,34380628,2754.58,2968657,1441.1,1197907,465.91,4134513,3083.76
