,beat,population,square_mileage,households,percent_white,percent_hispanic,percent_black,percent_asian,percent_mixed,percent_other,med_income,percent_on_fs,percent_bachelors,percent_high_school,percent_no_high_school
55,524,8125.923221478,1.2358159164,2825.5831746468,0.9392923657272418,0.7937938833154239,96.72317360243814,0.2315389667868146,1.2629413257381692,0.0492599322513896,42772.707613613,32.52151425892696,23.809457757888985,61.2656513011576,14.924638427590592
56,531,4542.030362935399,0.6162740375,1833.9205566211,14.284849438456476,5.6884116855511815,77.83831017672973,1.2276377642698965e-05,2.186398798138383,0.0020176247069553,32097.605410620297,39.65893406998151,26.197984743789902,57.05308897354752,16.747330190258445
57,532,5666.5041804368,2.3034128895,2048.9796520397,1.7565006873325486,22.91610668374557,75.21191667770859,0.0,0.0073708572781429,0.1081050932415935,22929.365870535898,44.916219172671816,14.715621642949351,62.21443235415055,23.06928217243513
58,533,7209.7159441686,1.9714955166,2117.8934190781,1.9979166452709765,3.227190935287685,93.98650386240706,0.3573553303433378,0.1561443734521247,0.2748886743205169,18121.0079388241,58.65209965502955,13.614081256848962,62.24035257864892,24.14780358134405
59,611,7932.649320728101,0.5662488323,2867.252571498,1.0207162198147963,0.7009697683131193,95.1415526732357,0.1309526354600852,2.6054086381260837,0.4004000627105079,34788.9174089895,33.724459315968375,19.78186222586379,64.20640495004307,16.011287863546805
60,612,8845.575894592099,0.5683184652000001,3589.4356178021003,0.6957674157804289,2.150149614542089,96.12295702234758,0.4601231282395417,0.4140581395858222,0.1569447511980245,24110.8674811866,34.957151876280854,21.38060667420599,62.013219934989394,16.605964434001898
61,613,7359.304326134599,0.5635460551,2944.2085644821004,0.7725547751897677,0.4045210309985422,97.6163344857144,0.5012034347270093,0.3368545260679657,0.3685317472574915,36421.6498440981,30.64029766335817,21.466508476269105,58.45012436233085,20.083452886781423
62,614,9359.4152677674,0.9335337801,3591.7614279086,0.6338208242794496,1.1584271786389393,96.64556591304566,0.5076794397844306,1.026246179244614,0.0282605083173208,42260.476583701,28.52999808436543,23.305645047485623,61.82937593386691,14.863753503981153
63,621,7119.6630737109,0.5690809615,2523.3408826622,1.578729794104076,0.9435989547421656,97.11335765547148,0.0,0.1803266715064966,0.183986983333081,25675.7958779037,39.44399906892968,21.35029868273908,61.64453500444584,17.005754722408795
64,622,3506.7352452526,0.7440125956999999,1316.2749502629,0.0578960223258529,0.7984941493004842,98.72219978209182,0.0215065670789091,0.3997495592567961,0.000153605873363,32196.855677787404,31.540768465895315,27.990641561448847,53.24144884223983,18.76776094614053
65,623,5823.0541144777,0.7486079977,2381.4786235072,0.8145014994138371,0.5958837267960424,97.44135166216871,0.0,1.066404257139036,0.0818590743395066,43103.9313827213,24.938954974735022,30.70238070766271,57.90580173179222,11.392589890867864
66,624,7480.696752370301,0.6020453115,3289.6866886285,0.7446998878593545,0.7694603816183496,97.80139529716418,0.4100592279292749,0.0884247741148452,0.1859604313407327,25555.5566771856,46.31776192373044,19.179204375091512,63.64599046882245,17.174471526145933
67,631,9395.2090423392,0.4553668892,4119.8125414555,1.31537637442105,1.4014394115664883,95.79374121656473,0.3284176915910075,0.6758459265563144,0.4851794659914313,31531.972676955495,41.47776603332032,25.93827647607878,60.258852333869854,13.80281274933849
68,632,9427.1104087627,0.9565312139,4359.4241835663,1.997860722162896,0.2748861234075773,95.99837311868174,0.3261511751959577,1.4027288605221286,0.0,38250.6572981674,28.933418186462127,34.5067410026081,55.22960042919025,10.264195543222254
69,633,6189.9060640525,0.64575269,2390.0023816922,0.1953479318841799,0.4238453906960208,98.16597703486512,0.2724608396344309,0.6698720748316724,0.2724969426637317,37218.3769631799,34.11224665616244,36.302516699907166,52.30956242193302,11.387345186015224
70,634,4818.0542723593,0.6843472584,1810.3173724377,0.5034946847852972,1.5031734773513796,95.6042049384016,0.5600533368792183,1.829066028414554,7.068230882198828e-06,46076.5587000888,32.4435632938065,32.583769276416,53.971282048210334,13.445530368857955
71,711,3918.2475694626,0.7217640423,1334.4128694534,2.173665678807051,2.6794812659272456,93.60520556786904,1.4593126656476776,0.0823348951363598,0.0,22100.915444861497,51.49159785131218,11.993903747782031,66.44804044381516,21.557005283505404
72,712,4662.562945863499,0.4882155032,1393.6293094627,0.7828581557356331,1.4870624876241585,95.37151273097436,0.0403563659868515,2.3181010172331997,0.0001093325700733,25348.9735087012,62.63154455782933,12.692272929057465,58.52734126696879,28.77912048862718
73,713,5002.7269593797,0.4878887189999999,1621.057864345,1.2840813801332296,3.5611548016801984,94.93642255084396,0.0,0.2183414230756733,0.0,29756.9998642827,45.456707891321415,17.415971331351493,60.08447399339626,22.498303059465176
74,714,2916.1875249677,0.3820038501,920.8100487492,0.3389472813312813,8.792423972681249,90.23824042424523,0.0,0.4427020821660977,0.187686314218103,24349.7694973242,46.72645788767776,12.480774113754606,67.45007870058538,20.06997018442937
75,715,3426.8386427875,0.3613211373,1068.3515955227,0.8271956752256628,15.675139329649191,83.06005286737404,0.1563321757934374,0.1300729473178292,0.15120765170271,26543.037880325297,48.82041545503712,15.463136558533028,63.65113509342712,20.884339800247744
76,722,3172.6667077406,0.4742114412,1442.7506196621,0.8476190731219638,0.6221990933317406,97.99974711652288,0.0912251399032437,0.4392092828724355,0.0,16816.7901884043,52.67398069407764,15.851145014609124,62.83323350153992,21.31665857410425
77,723,4371.3134405787,0.3791717209,1664.5810864576,0.5044714256152865,2.030343065777741,96.72521277230923,0.1153113461850654,0.4066676094278569,0.217993638748048,16898.5454186323,55.94808090746152,15.630613163576657,60.10346262254864,24.26700417949144
78,724,3283.322524217,0.3754273193,1324.0702905467,1.7435697005353488,1.2502205260322157,94.45541223054184,0.0,2.085541611746772,0.4652554047227799,15602.5810680939,54.10983789350651,13.794218691546185,61.25971043572298,24.94663608230644
79,725,4577.2013512709,0.3756587914,1417.8907366861,1.3534135175525863,6.442032525596197,91.1849572182384,0.0,1.0195811701082833,1.572521383181337e-05,24247.739740405,46.92002935903813,10.343054181437362,63.41253754333399,26.24242497298292
80,726,3738.3322872256,0.3813162418,1144.0233721687,0.0921814393807534,3.394119213689975,96.13178043943708,0.0425177748118162,0.3393847160123877,1.666967920774329e-05,28916.289161629706,44.53967869399976,10.621877094127692,65.16930235265544,24.20860631071219
81,731,4678.1661464085,0.3539548782,1575.2407421510998,3.5507544962148327,0.4279172239034017,94.71396965658758,0.0,0.8618890789963659,0.4454697153220829,21443.658866839494,55.52875211747767,21.14344115991481,59.93846987871501,18.915879244835292
82,732,3281.7939804965004,0.374739711,1111.3347711437,0.0663629069479403,6.343370763831589,89.46507472106174,0.0,1.496365908711629,2.628825668256844,22130.4222765992,46.739979457255245,19.918875418499525,59.31250002552038,20.76716212092529
83,733,4067.8106286492,0.3698515649,1426.028439851,0.0,2.321017095688948,97.67856178280704,0.0,0.000421121506477,0.0,27523.960831639502,49.154308498247055,13.369181572394526,58.01756595858796,28.612432670897235
84,734,3573.3693528020003,0.3706344853,1108.8716956373,0.0280149146075544,1.9558129622956024,94.65286684237458,0.0,3.3632851378926376,2.01427456536392e-05,36209.8942953778,35.82379592265586,13.859349417184374,63.66170974025055,22.479091213737448
85,735,5806.9003910833,0.5715726904999999,1737.2843870397,0.776236765829748,6.743960940227919,90.53999235848576,0.0293271393050759,1.9104827167184064,0.0,35299.6462495934,38.3132710318653,9.415540837972694,68.93024195402201,21.654486268028965
86,811,23146.6694772763,2.1448817342,8402.191607385,56.5566120269413,41.08720574665497,1.0108342714536056,0.2247361993636638,0.9913984742426224,0.1292131449462395,76508.2205418794,6.847044308145101,34.94651582397925,50.81833585148424,14.234715689901408
87,812,17257.4079352845,1.4065470129,6248.8395859703005,50.75303516140593,44.96430339522468,0.9856812783408062,1.9528453395266172,1.304537745220129,0.0395970803235656,64309.689781816,11.028109515057974,24.765684518845323,60.71360542119197,14.520283839096129
88,813,24325.415719478,1.3810510421000002,6658.474396145501,20.48027249714032,77.51931279717941,1.6205110725296137,0.2071829410016821,0.1277913250391392,0.0449294397741726,54172.5126588945,21.540370074120485,19.99117595358152,53.31088872035256,26.69788739173851
89,814,9600.9987977028,1.0303027332,3040.0671273212,28.413732325438065,58.58573898728777,11.298315583436434,1.0462905614636198,0.5938384044578952,0.0620842842395335,49763.3613045173,17.929199141042893,21.097581307195977,53.15823848971812,25.74260010512184
90,815,16260.3301385457,2.0317395342,4675.5790595145,20.762713432945414,73.68801544352989,1.6793208516565972,3.618523568177222,0.2086982594834024,0.0427284816636656,47868.7777953813,19.605133834457774,15.988082649732954,53.43090709377797,30.581224755907144
91,821,10199.6771260756,1.6719706215,3009.6839348696003,10.391627795212464,80.4750938224293,1.655218900776689,7.127298902696771,0.3507603081536486,0.0,42488.2791577752,23.307227729904216,14.720998470292905,52.01421340094588,33.26569989514342
92,822,21216.6180089933,1.1395779876,5113.8397640669,6.403689518934624,91.49203248419492,0.9597330966329708,1.1211570196516287,0.0233879818065096,0.0,49586.1425165499,25.808496536502624,13.301399012046952,51.023145194721295,35.675226227665355
93,823,21821.9396880401,0.9468774658,6046.0129143148,6.202566373984713,75.42733107032522,16.873824310317808,0.3054617506180393,1.111293588385315,0.0795229006686828,35823.5209380015,36.69183292973023,11.177976851339851,48.767286652698495,40.05507398124245
94,824,15927.9907295003,0.7447819,3802.098959659,2.6585574892846813,85.96735734394339,10.379719165078065,0.7719611513526885,0.1134239144579586,0.1089808106539786,38648.7877737376,38.37766004766661,10.187644784661083,50.73115434038616,39.08119937737309
95,825,8436.8475849986,0.4965076507,2484.0925205769,2.3010487003355315,30.84933231595687,66.26664122473332,0.2015508193621447,0.3814271895218235,0.0,28109.6202636692,44.86631126971737,11.242578070619578,58.63979772550463,30.11723957397247
96,831,13481.9189666639,1.251317739,4097.5056904929,4.115565976041461,48.9579813938378,43.50123490012672,1.0190381233718109,2.155969368904502,0.2502102592094667,35366.317305149,33.415366864164035,14.937382319972809,59.78341403164805,25.27873904776116
97,832,7228.8917662614,0.4873304628,2359.693023616,1.5011063785330452,3.5101959908044407,91.72419399690364,0.9083085790639528,2.356195436357857,0.0,31568.9063397127,41.95377233207443,17.195943794799675,65.17381352805134,17.630917184574198
98,833,20686.7636150012,2.3954094325,5567.5441720224,15.025623871403337,76.73709675096985,6.750246433310535,1.0875654266603216,0.3994420012687673,2.536863038447638e-05,55784.51405538769,19.674778290048074,18.51184625593407,52.28455834322837,29.20521874202402
99,834,24860.5383248726,2.2789789671,7311.466564900899,16.343187931682575,48.61848971271277,33.09322530819759,1.059159192768805,0.8024803857654292,0.0834573602545122,63208.667954019904,16.316677893885302,28.132346909420026,53.63675571202327,18.2306292621099
100,835,17108.694731813797,2.4005698987,5436.803717146,4.744362904603927,10.544448009628756,80.89829899788077,0.1878492788204234,3.549128777945213,0.0759119383230886,65796.069374229,20.774236545241635,29.256334142218236,59.73570506026409,11.00746445235632
101,911,11691.953362235,1.1236336448,2792.4659144959,6.610601259340407,68.19685155935997,12.249129297326686,11.969443118700422,0.9730211602678936,0.0009532735236526,39498.068904582,28.37354012407815,13.46021542478464,43.370505315345945,43.16992571914237
102,912,16085.4576636189,1.6291959394,5126.4545643577,16.897268611230206,62.75443415152964,1.0222760777320952,17.764516791112676,0.739876694730143,0.8216271809102269,44375.0728876252,23.68844657605681,26.40711085824432,44.09315588983293,29.498915210046484
103,913,15112.5820580951,1.0026622415000002,5716.0933776852,29.520505739733505,31.14581631094677,4.508345196039118,33.195714372384,1.0118039242671537,0.6178144924916209,39761.8074244887,16.110794349758027,32.49062841442168,44.18705093642784,23.32257717027523
104,914,18798.0531583184,0.954502429,6614.3954577718005,13.360952223319371,8.209307271408138,2.3067388940498668,74.95197220696917,1.1423163367334,0.0287129395323129,34882.1704117249,27.170477055874613,27.280651572435676,41.79426034689548,30.925123713963803
105,915,12204.256051973898,1.0695576779,5094.4658048805,46.43590181686906,18.39106075230517,7.985791194263485,24.80703297883229,1.587627769240894,0.7925855015566899,49977.05764038071,17.9342881652325,37.54288060914827,43.90521843625734,18.551901946313247
106,921,14640.8062483577,0.5189740602,3902.9790565601,6.370281957535768,84.76578458596028,2.540289727445981,5.882778959410196,0.4408648454175146,0.0,42931.6512586752,30.04147316656361,15.254265172925075,40.71949915901115,44.0259628839428
107,922,15971.6395732396,0.7887343667,4376.3981436292,6.138588053703082,88.4275643751038,1.1781358101655002,3.687994697008578,0.3374254312305945,0.2302913480355948,36845.234603721496,23.86600645430205,10.389569206970066,43.41569662180323,46.19484017207855
108,923,15721.7133534635,0.7679835739,3845.0810112919,3.9965538168387935,93.6986058953495,1.763703809509503,0.3328348270538355,0.2083019656282275,0.0,39854.036345887005,33.02103173451998,9.304658470340089,42.78676948168346,47.90778428678711
109,924,8448.0858287017,1.4804070362,2243.9265911135,3.885642698700509,88.88741634859225,3.2469537025638298,3.933984640883732,0.0459699684620371,3.2750714849510495e-05,32055.5830103676,43.72291613191078,11.115294208963467,47.02837506831938,41.85571073348461
110,925,7061.8553474043,1.3122902129,2495.9806768462,48.37018160722939,25.419585346468704,18.230012861316915,6.096877618397502,1.4333703261424915,0.4499722973280659,49328.27593257769,26.748312547947616,20.939769924455884,57.32556602062153,21.73281544154594
111,931,9430.2651996819,0.4870853746999999,2757.9066599788,4.763524508611411,87.03748451472147,7.238668619916716,0.10028552203727,0.6495638949757879,0.2104729956202029,28758.3714849528,31.30849159875981,6.354174130161939,56.499519670263645,37.14580983007412
112,932,6293.321143256,0.5138952901,1787.729411639,1.0782766416905163,49.9704143533928,47.41188260183826,0.5461821928527281,0.9890558531102758,0.0041883703643896,29746.7603705726,45.846157494046125,7.1276890839309655,61.32294571838478,31.550541180143032
113,933,5772.319410980799,0.5011370927000001,1679.154298457,5.511669065964623,72.42312072414363,21.250379914369223,0.17421137768936,0.6406193097536299,0.0,23288.5595414788,35.50342249159697,5.5669311266002826,61.2181284039779,33.21650874617088
114,934,4736.776175774799,0.5263198953,1389.5501867068,3.961453582824329,10.049874837698738,83.6838149481386,0.6306388745107597,0.5624517148784665,1.1117660506406777,25817.030909895097,47.72800626121887,10.833421794570128,67.02731371649907,22.14005107022256
115,935,2397.7288410991,0.7575400975,883.1394914921001,13.469041935970614,15.258216856281251,65.0410160741168,5.983244432132625,0.2484807013777649,0.0,32674.111757686,33.104193479011144,13.606227558386436,69.61901551596581,16.775508188618623
