Ticker,Name,GICS Sector,GICS Subsector,Headquarters
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,"Plymouth Meeting, Pennsylvania"
HSII,"Heidrick & Struggles International, Inc.",Industrials,Human Resource & Employment Services,"Chicago, Illinois"
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,"Nashville, Tennessee"
HTH,Hilltop Holdings Inc.,Financials,Regional Banks,"Dallas, Texas"
HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation,"North Liberty, Iowa"
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,"Oak Brook, Illinois"
HVT,"Haverty Furniture Companies, Inc.",Consumer Discretionary,Homefurnishing Retail,"Atlanta, Georgia"
HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals,"Roseville, Minnesota"
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,"Clearwater, Florida"
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio"
IBTX,"Independent Bank Group, Inc.",Financials,Regional Banks,"McKinney, Texas"
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Equipment,"Fremont, California"
ICUI,ICU Medical,Health Care,Health Care Supplies,"San Clemente, California"
IDCC,"InterDigital, Inc.",Information Technology,Communications Equipment,"Wilmington, Delaware"
IIIN,"Insteel Industries, Inc.",Industrials,Building Products,"Mount Airy, North Carolina"
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,"Park City, Utah"
INDB,Independent Bank Corp.,Financials,Regional Banks,"Rockland, Massachusetts"
INN,"Summit Hotel Properties, Inc.",Real Estate,Hotel & Resort REITs,"Austin, Texas"
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,"Burlingame, California"
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,"Englewood, Colorado"
IPAR,"Inter Parfums, Inc.",Consumer Staples,Personal Products,"New York City, New York"
IRBT,iRobot Corporation,Consumer Discretionary,Household Appliances,"Bedford, Massachusetts"
IRWD,"Ironwood Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Boston, Massachusetts"
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,"Plano, Texas"
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,"Liberty Lake, Washington"
JACK,Jack in the Box,Consumer Discretionary,Restaurants,"San Diego, California"
JBGS,JBG Smith,Real Estate,Office REITs,"Bethesda, Maryland"
JBLU,JetBlue,Industrials,Passenger Airlines,"Long Island City, New York"
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,"Elgin, Illinois"
JBT,John Bean Technologies Corporation,Industrials,Industrial Machinery,"Chicago, Illinois"
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Pennsauken Township, New Jersey"
JOE,St. Joe Company,Real Estate,Real Estate Development,"Panama City Beach, Florida"
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,"Lansing, Michigan"
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,"Franklin, Tennessee"
KAMN,Kaman Corporation,Industrials,Trading Companies & Distributors,"Bloomfield, Connecticut"
KAR,"OPENLANE, Inc.",Industrials,Diversified Support Services,"Carmel, Indiana"
KELYA,"Kelly Services, Inc.",Industrials,Human Resource & Employment Services,"Troy, Michigan"
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,"Los Angeles, California"
KLG,WK Kellogg Co,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan"
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Equipment,"Serangoon, North-East Region, Singapore"
KMT,Kennametal,Industrials,Industrial Machinery,"Pittsburgh, Pennsylvania"
KN,Knowles Corporation,Information Technology,Electronic Components,"Itasca, Illinois"
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,"Pittsburgh, Pennsylvania"
KREF,"KKR Real Estate Finance Trust, Inc.",Financials,Mortgage REITs,"New York City, New York"
KSS,"Kohl's Corp.",Consumer Discretionary,Broadline Retail,"Menomonee Falls, Wisconsin"
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina"
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,"Beverly Hills, California"
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,"Conshohocken, Pennsylvania"
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,"Denver, Colorado"
LCII,LCI Industries,Consumer Discretionary,Auto Parts & Equipment,"Elkhart, Indiana"
LESL,"Leslie's, Inc.",Consumer Discretionary,Home Improvement Retail,"Phoenix, Arizona"
LGIH,LGI Homes,Consumer Discretionary,Homebuilding,"The Woodlands, Texas"
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,"San Diego, California"
LKFN,Lakeland Financial,Financials,Diversified Banks,"Warsaw, Indiana"
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,"Burlington, Massachusetts"
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania"
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,"Omaha, Nebraska"
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,"Stamford, Connecticut"
LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services,"Bethesda, Maryland"
LRN,"Stride, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia"
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,"Westlake Village, California"
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana"
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,"New York City, New York"
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,"Monroe, Michigan"
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California"
