fips,MedianIncome,PovertyEst,LaborForce,UnemploymentRate,Older,Urban,Trump2016,Trump2020,RepGov,Female,AdherentPercent
51099,90786,1611,13819,4.5,11.04381,26.81,61.31862,59.37852,0.0,0.0,32.96288889
51101,79313,1083,9067,5.4,13.52868,16.79,65.614,68.18182,0.0,0.0,42.849
51103,55539,1078,5370,7.2,33.9229,0.0,53.34141,51.69184,0.0,0.0,63.375
51105,38229,5667,8304,6.4,18.65013,0.44,80.63723,84.10416,0.0,0.0,54.72688889
51107,155362,13241,223194,5.3,7.557125,87.4,38.62813,36.50595,0.0,0.0,38.366
51109,69907,3014,19944,5.2,16.61988,0.0,60.016,60.66165,0.0,0.0,30.34388889
51111,47384,1847,5266,5.3,21.01028,0.0,57.48611,58.95,0.0,0.0,28.775
51113,67373,1241,7306,3.8,19.69814,0.0,63.71503,65.19867,0.0,0.0,37.812
51115,68946,738,4052,4.9,28.56328,0.0,66.42101,66.95847,0.0,0.0,53.72
51117,49542,4572,12679,6.8,22.55439,22.19,54.576,57.18341,0.0,0.0,44.948
51119,60752,1181,5134,5.1,28.25982,0.0,61.19453,61.8423,0.0,0.0,39.812
51121,62418,17059,48670,4.8,11.46406,75.07,45.5674,45.80456,0.0,0.0,35.468
51125,60757,1571,7304,5.6,22.18453,0.0,50.32133,51.65307,0.0,0.0,51.40488889
51127,107658,1071,12503,4.6,14.24816,0.0,66.73518,66.59061,0.0,0.0,30.41888889
51131,50096,1854,5409,7.8,24.02188,0.0,43.78872,43.89483,0.0,0.0,43.079
51133,60575,1487,5686,6.3,33.03535,0.0,62.24315,57.38963,0.0,0.0,39.98388889
