Fips,Income,Older,Urban,Trump2016,Trump2020,RepGov,Female
29197,39463,18.52704,0,77.85825,80.17973,1,0
29199,42053,17.15481,0,77.48984,78.62904,1,0
29201,44261,15.83734,58.45,76.36279,77.70755,1,0
29203,32715,18.2206,0,75.97336,81.02919,1,0
29205,44564,19.01944,0,77.61378,80.59702,1,0
29207,40808,18.09947,30.21,83.42371,85.53552,1,0
29209,46026,26.06803,11.31,79.5078,80.07359,1,0
29211,41978,18.02642,0,75.84541,79.88669,1,0
29213,40887,19.2356,56.14,77.95205,78.01278,1,0
29215,34824,19.13365,0.79,81.16141,83.76492,1,0
29217,42552,16.91579,41.74,76.09608,77.89875,1,0
29219,62056,16.00917,36.96,70.46175,71.95646,1,0
29221,38591,14.65247,19.52,75.94568,80.66359,1,0
29223,33703,21.48792,0,80.86441,84.84178,1,0
29225,51141,14.09218,26.07,76.86639,79.23744,1,0
29227,43119,21.97531,0,77.24665,79.22313,1,0
29229,35293,17.70348,23.37,82.89636,85.28436,1,0
29510,43263,11.049,100,15.91878,16.0413,1,0
30001,47674,19.79522,49.85,69.35415,69.29871,0,0
30003,40425,10.70054,28.09,44.18997,46.13294,0,0
30005,39237,13.77432,0,48.0351,47.12865,0,0
30007,52840,19.32624,0,75.20181,77.44691,0,0
30009,53661,21.36542,0,62.95796,62.92072,0,0
30011,47985,22.5,0,87.12999,89.69907,0,0
30013,50054,16.53127,80.18,57.24305,58.45556,0,0
30015,44645,17.10297,0,65.18864,63.5844,0,0
30017,50525,17.60104,82.09,70.70943,71.47714,0,0
30019,44659,25.21739,0,76.57563,78.79684,0,0
30021,56167,16.54474,72.43,76.75122,77.69278,0,0
30023,45641,21.50275,66.36,42.3518,44.69434,0,0
30025,62029,15.72848,0,86.56716,87.30159,0,0
30027,49147,22.10574,52.56,73.24455,74.55214,0,0
30029,54382,16.19745,48.52,65.18507,63.59488,0,0
30031,67569,10.91247,66.46,44.77755,44.32573,0,0
30033,44580,24.88038,0,91.32867,93.97294,0,0
30035,37719,10.88383,55.99,32.15939,33.41018,0,0
30037,38782,20.40816,0,77.99146,82.30617,0,0
30039,48410,27.97428,0,67.25312,67.50713,0,0
30041,50136,13.33749,60,54.29337,55.09607,0,0
30043,68381,17.17846,0,62.7238,65.25455,0,0
30045,50197,22.55639,0,72.91842,77.38096,0,0
30047,44833,18.95253,16.57,57.78415,56.06881,0,0
30049,63860,15.23174,71.07,49.45544,50.3919,0,0
30051,42742,23.21839,0,73.23498,75.80794,0,0
30053,40602,23.54172,20.21,72.64865,73.8231,0,0
30055,43650,21.99413,0,81.25,84.75177,0,0
30057,53031,24.91672,0,69.66865,68.55881,0,0
30059,44572,21.33333,0,75.05154,75.04504,0,0
30061,43458,25.65947,0,66.97062,71.32267,0,0
30063,56207,13.01745,77.67,37.88829,36.60017,0,0
30065,43371,20.59134,0,81.57238,84.10275,0,0
30067,61044,18.76814,52.26,53.79859,51.85918,0,0
30069,41009,17.97753,0,86.52037,84.90028,0,0
30071,44730,20.44064,0,79.87891,81.13998,0,0
30073,42890,18.2526,41.9,66.34473,67.81302,0,0
30075,47378,23.86707,0,84.04967,85.38733,0,0
30077,48966,21.21495,45.78,72.8685,73.70892,0,0
30079,42754,25.92593,0,80.90379,81.04839,0,0
30081,50055,21.70265,15.37,66.50501,67.0502,0,0
30083,67242,13.3574,55.8,80.73566,82.78717,0,0
30085,40179,9.783111,60.27,49.39759,49.55313,0,0
30087,57674,12.78317,0,65.86237,65.69768,0,0
30089,39861,25.21348,0,72.6963,73.96759,0,0
30091,51690,20.48023,0,67.78082,69.1133,0,0
30093,47302,16.29674,88.56,38.7793,41.13773,0,0
30095,66226,18.79781,0,75.37376,77.72165,0,0
30097,52747,21.25,0,76.07126,75.22486,0,0
30099,48368,22.05882,0,68.46961,70.58186,0,0
30101,46326,16.51584,57.04,74.08325,75.17664,0,0
30103,50774,19.75309,0,79.36508,81.08696,0,0
30105,48390,20.78009,44.8,69.87047,73.38483,0,0
30107,38449,24.09639,0,74.89271,77.05992,0,0
